Position,Player,Type,ADP,Bye,NEWS / NOTES
WR,JuJu Smith-Schuster (KC - BYE: 10),Veteran,143,10,""
WR,Josh Reynolds (NYJ - BYE: 9),Veteran,144,9,""
WR,Jalin Hyatt (NYG - BYE: 14),Rookie,146,14,"Jalin Hyatt slots into Giants WR4 battle »"
WR,Nick Nash (ATL - BYE: 5),Rookie,150,5,""
WR,Van Jefferson (TEN - BYE: 10),Veteran,156,10,""
WR,Javon Baker (NE - BYE: 14),Rookie,161,14,""
WR,KeAndre Lambert-Smith (LAC - BYE: 12),Rookie,162,12,"KeAndre Lambert-Smith signs rookie deal with Chargers »"
WR,Jacob Cowing (SF - BYE: 14),Rookie,164,14,""
WR,Jake Bobo (SEA - BYE: 8),Rookie,174,8,""
WR,Jonathan Mingo (DAL - BYE: 10),Rookie,175,10,""
WR,Zay Jones (ARI - BYE: 8),Veteran,180,8,""
WR,Ja'Corey Brooks (WAS - BYE: 12),Rookie,187,12,""
WR,Arian Smith (NYJ - BYE: 9),Rookie,189,9,"Arian Smith signs rookie contract with Jets »"
WR,Kendrick Bourne (NE - BYE: 14),Veteran,173,14,""
WR,Mack Hollins (NE - BYE: 14),Veteran,127,14,""
WR,Jordan Watkins (SF - BYE: 14),Rookie,,14,""
WR,Jamari Thrash (CLE - BYE: 9),Rookie,,9,""
WR,Antwane Wells Jr. (NYG - BYE: 14),Rookie,,14,""
WR,Donovan Peoples-Jones (NO - BYE: 11),Veteran,,11,"Donovan Peoples-Jones signs with Saints »"
WR,Theo Wease Jr. (MIA - BYE: 12),Rookie,,12,""
WR,Hunter Renfrow (CAR - BYE: 14),Veteran,,14,""
WR,Michael Gallup (WAS - BYE: 12),Veteran,,12,""
WR,Robert Woods (PIT - BYE: 5),Veteran,,5,""
RB,Jaydn Ott (FA),Rookie,,,""
RB,Kendall Milton (CIN - BYE: 10),Rookie,,10,""
RB,Trayveon Williams (NE - BYE: 14),Veteran,,14,"Trayveon Williams signs with Patriots »"
RB,Jordan Mims (FA),Rookie,,,"Jordan Mims works out for Patriots »"
RB,Kyle Monangai (CHI - BYE: 5),Rookie,88,5,"Kyle Monangai signs rookie contract with Bears »"
